created_time,RequestID,priority,requester,category,sub_category,subject,request_status,resolved_time,resolution_hours,severity,est_per_day_cost_usd
2025-06-08 10:21:00,SR-1975906,Priority 1,Fatima Fernandes,HR,Leave Policy,Leave Policy issue reported by Fatima Fernandes,Closed,2025-06-10 17:20:24,54.99,Medium,1000
2025-05-07 18:27:00,SR-1984673,Priority 1,Fatima Demilian,Facilities,Transport,Transport issue reported by Fatima Demilian,Pending,,,Medium,200
2025-07-26 20:58:00,SR-1992625,Priority 4,Ravi Wilson,Network,Connectivity,Connectivity issue reported by Ravi Wilson,Pending,,,Low,5000
2025-05-01 21:14:00,INC-1970660,Priority 4,Anjali Fernandes,Network,Connectivity,Connectivity issue reported by Anjali Fernandes,Closed,2025-05-05 22:35:00,97.35,Low,5000
2025-04-08 17:59:00,SR-1915836,Priority 2,Kunal Iyer,IT Support,Email Access,Email Access issue reported by Kunal Iyer,Closed,2025-04-09 14:36:12,20.62,Medium,10000
2025-04-01 00:40:00,SR-1912456,Priority 2,Alfarhan Demilian,Facilities,Seating,Seating issue reported by Alfarhan Demilian,Open,,,Low,5000
2025-05-23 21:02:00,SR-1928259,Priority 3,Neha Demilian,Network,Firewall,Firewall issue reported by Neha Demilian,Pending,,,Critical,5000
2025-04-01 12:19:00,INC-1958243,Priority 4,Anjali Wilson,IT Support,Email Access,Email Access issue reported by Anjali Wilson,Open,,,Low,1000
2025-05-08 14:03:00,INC-1947074,Priority 4,Alfarhan Dubey,IT Support,Software Install,Software Install issue reported by Alfarhan Dubey,Open,,,Medium,5000
2025-02-02 12:34:00,INC-1901949,Priority 3,Alfarhan Demilian,HR,Leave Policy,Leave Policy issue reported by Alfarhan Demilian,Closed,2025-02-03 01:50:48,13.28,High,200
2025-05-16 02:18:00,INC-1900744,Priority 4,Anjali Singh,HR,Compliance,Compliance issue reported by Anjali Singh,Closed,2025-05-16 15:10:12,12.87,Critical,1000
2025-06-09 19:45:00,SR-1984611,Priority 2,Priya Singh,LM Onboarding,Resource Extension,Resource Extension issue reported by Priya Singh,Pending,,,High,500
2025-06-26 06:08:00,SR-1974565,Priority 4,David Verma,HR,Leave Policy,Leave Policy issue reported by David Verma,Pending,,,Low,3000
2025-03-01 20:06:00,SR-1991738,Priority 1,George Patel,Facilities,Cafeteria,Cafeteria issue reported by George Patel,Open,,,Medium,1000
2025-02-10 12:37:00,INC-1932279,Priority 4,Kunal Patel,Finance,Budget Request,Budget Request issue reported by Kunal Patel,In Progress,,,High,5000
2025-02-25 21:54:00,SR-1980365,Priority 1,Sadhana Verma,Finance,Budget Request,Budget Request issue reported by Sadhana Verma,Pending,,,Medium,10000
2025-02-25 09:13:00,SR-1968174,Priority 2,Fatima Singh,Network,Bandwidth,Bandwidth issue reported by Fatima Singh,Closed,2025-02-28 02:47:12,65.57,Low,1000
2025-03-03 05:16:00,SR-1920361,Priority 3,Neha Dubey,Finance,Budget Request,Budget Request issue reported by Neha Dubey,Pending,,,Low,200
2025-02-23 05:31:00,INC-1946689,Priority 4,Neha Fernandes,HR,Payroll,Payroll issue reported by Neha Fernandes,Pending,,,High,500
2025-05-10 10:44:00,SR-1951467,Priority 3,Sadhana Fernandes,HR,Leave Policy,Leave Policy issue reported by Sadhana Fernandes,Open,,,High,200
2025-06-30 18:42:00,INC-1901753,Priority 3,Sadhana Iyer,Network,Bandwidth,Bandwidth issue reported by Sadhana Iyer,Open,,,Medium,5000
2025-02-17 19:34:00,INC-1922114,Priority 2,David Fernandes,Finance,Expense Claim,Expense Claim issue reported by David Fernandes,In Progress,,,Medium,3000
2025-05-10 01:10:00,SR-1910596,Priority 2,Ravi Demilian,Network,Firewall,Firewall issue reported by Ravi Demilian,Pending,,,Critical,200
2025-07-23 15:21:00,INC-1905525,Priority 2,Kunal Verma,Facilities,Cafeteria,Cafeteria issue reported by Kunal Verma,Closed,2025-07-26 10:01:12,66.67,Low,200
2025-07-21 23:26:00,SR-1976388,Priority 4,Fatima Patel,ACCOPS,VPN,VPN issue reported by Fatima Patel,In Progress,,,Low,500
2025-02-05 17:57:00,SR-1960100,Priority 2,Anjali Patel,HR,Payroll,Payroll issue reported by Anjali Patel,In Progress,,,Low,500
2025-06-26 12:49:00,INC-1951915,Priority 1,Ravi Demilian,HR,Compliance,Compliance issue reported by Ravi Demilian,Closed,2025-06-28 03:31:00,38.7,High,500
2025-02-22 17:01:00,SR-1946138,Priority 4,Fatima Singh,IT Support,Software Install,Software Install issue reported by Fatima Singh,Closed,2025-02-27 04:35:12,107.57,Low,1000
2025-02-27 06:36:00,INC-1916716,Priority 1,Neha Fernandes,Facilities,Transport,Transport issue reported by Neha Fernandes,Pending,,,High,3000
2025-05-14 04:24:00,SR-1991777,Priority 1,George Dubey,HR,Leave Policy,Leave Policy issue reported by George Dubey,Open,,,Medium,5000
2025-06-25 01:13:00,INC-1976815,Priority 1,Alfarhan Dubey,ACCOPS,Token Reset,Token Reset issue reported by Alfarhan Dubey,In Progress,,,High,10000
2025-07-21 00:38:00,INC-1953479,Priority 1,Neha Demilian,IT Support,Email Access,Email Access issue reported by Neha Demilian,Closed,2025-07-25 19:19:24,114.69,Medium,5000
2025-04-25 09:07:00,INC-1967960,Priority 2,Alfarhan Patel,Network,Connectivity,Connectivity issue reported by Alfarhan Patel,Pending,,,Medium,3000
2025-03-16 07:43:00,INC-1910478,Priority 1,Priya Demilian,Facilities,Seating,Seating issue reported by Priya Demilian,Open,,,Critical,10000
2025-07-06 14:22:00,INC-1974366,Priority 4,Priya Iyer,LM Onboarding,Resource Extension,Resource Extension issue reported by Priya Iyer,Open,,,Critical,200
2025-03-23 16:59:00,SR-1977096,Priority 1,Neha Iyer,ACCOPS,Account Access,Account Access issue reported by Neha Iyer,Pending,,,Low,500
2025-06-29 20:46:00,INC-1924820,Priority 1,Fatima Verma,ACCOPS,Token Reset,Token Reset issue reported by Fatima Verma,In Progress,,,Medium,500
2025-06-21 22:50:00,INC-1975241,Priority 2,Anjali Patel,IT Support,Laptop Issue,Laptop Issue issue reported by Anjali Patel,Pending,,,Critical,200
2025-02-28 22:09:00,INC-1998539,Priority 2,Priya Patel,ACCOPS,Token Reset,Token Reset issue reported by Priya Patel,Open,,,Medium,10000
2025-03-07 16:12:00,SR-1901610,Priority 3,Kunal Patel,ACCOPS,Account Access,Account Access issue reported by Kunal Patel,Open,,,Critical,1000
2025-07-15 23:28:00,INC-1910108,Priority 2,Neha Fernandes,LM Onboarding,Resource Extension,Resource Extension issue reported by Neha Fernandes,Pending,,,Critical,10000
2025-02-21 21:07:00,SR-1944392,Priority 2,George Iyer,IT Support,Software Install,Software Install issue reported by George Iyer,Pending,,,Low,10000
2025-02-20 05:45:00,INC-1925747,Priority 3,Sadhana Fernandes,LM Onboarding,New joinee queries,New joinee queries issue reported by Sadhana Fernandes,In Progress,,,High,3000
2025-07-30 18:15:00,INC-1907970,Priority 2,Anjali Sharma,Network,Connectivity,Connectivity issue reported by Anjali Sharma,Open,,,Critical,3000
2025-05-25 19:17:00,INC-1994229,Priority 2,Fatima Khan,ACCOPS,VPN,VPN issue reported by Fatima Khan,In Progress,,,Medium,1000
2025-06-07 11:55:00,INC-1935095,Priority 3,Sadhana Fernandes,Facilities,Seating,Seating issue reported by Sadhana Fernandes,Open,,,Critical,5000
2025-06-27 03:35:00,INC-1974362,Priority 2,Alfarhan Wilson,Finance,Expense Claim,Expense Claim issue reported by Alfarhan Wilson,Open,,,Critical,10000
2025-05-19 04:52:00,INC-1994007,Priority 2,Anjali Singh,Facilities,Cafeteria,Cafeteria issue reported by Anjali Singh,Open,,,High,10000
2025-04-23 18:13:00,SR-1994736,Priority 4,Priya Sharma,HR,Payroll,Payroll issue reported by Priya Sharma,In Progress,,,Low,200
2025-07-22 07:07:00,SR-1954981,Priority 4,Alfarhan Verma,HR,Leave Policy,Leave Policy issue reported by Alfarhan Verma,In Progress,,,High,500
2025-04-25 23:49:00,INC-1961462,Priority 2,George Wilson,Network,Firewall,Firewall issue reported by George Wilson,Closed,2025-04-26 01:02:12,1.22,Medium,5000
2025-05-30 11:54:00,INC-1941092,Priority 2,Neha Fernandes,Finance,Expense Claim,Expense Claim issue reported by Neha Fernandes,In Progress,,,High,1000
2025-07-18 20:16:00,INC-1973052,Priority 3,George Patel,Network,Bandwidth,Bandwidth issue reported by George Patel,Closed,2025-07-22 19:52:36,95.61,Medium,10000
2025-03-25 09:55:00,SR-1987769,Priority 4,George Khan,HR,Payroll,Payroll issue reported by George Khan,Pending,,,High,5000
2025-04-03 04:34:00,INC-1962034,Priority 3,George Singh,ACCOPS,Token Reset,Token Reset issue reported by George Singh,Closed,2025-04-07 08:20:48,99.78,Critical,10000
2025-02-18 07:40:00,INC-1977324,Priority 4,David Singh,Finance,Invoice,Invoice issue reported by David Singh,In Progress,,,Medium,200
2025-06-18 18:54:00,SR-1998372,Priority 3,George Dubey,IT Support,Laptop Issue,Laptop Issue issue reported by George Dubey,Open,,,Low,500
2025-06-29 05:25:00,SR-1901724,Priority 3,Anjali Sharma,LM Onboarding,Resource Extension,Resource Extension issue reported by Anjali Sharma,Open,,,High,200
2025-05-27 12:37:00,SR-1924128,Priority 2,Ravi Singh,Finance,Expense Claim,Expense Claim issue reported by Ravi Singh,Pending,,,Medium,5000
2025-05-21 21:56:00,SR-1990915,Priority 2,Sadhana Wilson,Network,Connectivity,Connectivity issue reported by Sadhana Wilson,Closed,2025-05-23 15:06:48,41.18,High,200
2025-02-28 18:04:00,INC-1980374,Priority 1,Ravi Sharma,Facilities,Cafeteria,Cafeteria issue reported by Ravi Sharma,In Progress,,,Low,500
2025-06-01 09:11:00,INC-1941796,Priority 4,Neha Fernandes,ACCOPS,Token Reset,Token Reset issue reported by Neha Fernandes,Open,,,Low,10000
2025-06-21 01:20:00,SR-1911762,Priority 2,Kunal Singh,HR,Leave Policy,Leave Policy issue reported by Kunal Singh,In Progress,,,Low,1000
2025-04-18 11:27:00,SR-1920779,Priority 2,David Singh,Finance,Invoice,Invoice issue reported by David Singh,Open,,,Critical,3000
2025-04-28 02:45:00,SR-1945669,Priority 4,Neha Singh,HR,Payroll,Payroll issue reported by Neha Singh,Open,,,Critical,200
2025-02-15 01:45:00,SR-1903410,Priority 3,George Demilian,ACCOPS,Account Access,Account Access issue reported by George Demilian,Closed,2025-02-19 00:19:12,94.57,Low,3000
2025-02-11 16:39:00,SR-1946868,Priority 3,Anjali Wilson,Network,Connectivity,Connectivity issue reported by Anjali Wilson,Pending,,,High,200
2025-03-19 06:55:00,SR-1989170,Priority 4,Priya Wilson,Facilities,Seating,Seating issue reported by Priya Wilson,Open,,,Critical,1000
2025-03-29 16:47:00,INC-1948090,Priority 3,Ravi Demilian,ACCOPS,VPN,VPN issue reported by Ravi Demilian,Open,,,Medium,3000
2025-03-19 13:45:00,INC-1930511,Priority 2,Fatima Verma,Facilities,Transport,Transport issue reported by Fatima Verma,Closed,2025-03-21 17:10:48,51.43,Critical,200
2025-02-19 16:47:00,SR-1949374,Priority 2,Alfarhan Demilian,HR,Leave Policy,Leave Policy issue reported by Alfarhan Demilian,Open,,,Critical,3000
2025-02-21 07:31:00,INC-1931843,Priority 3,Anjali Wilson,Network,Connectivity,Connectivity issue reported by Anjali Wilson,Open,,,High,3000
2025-07-06 17:42:00,SR-1963410,Priority 2,Ravi Khan,LM Onboarding,Resource Extension,Resource Extension issue reported by Ravi Khan,In Progress,,,Low,5000
2025-04-30 09:04:00,INC-1901835,Priority 4,Neha Iyer,Network,Bandwidth,Bandwidth issue reported by Neha Iyer,Pending,,,High,200
2025-02-22 13:18:00,INC-1961374,Priority 3,Priya Verma,Network,Firewall,Firewall issue reported by Priya Verma,Pending,,,Low,1000
2025-03-27 05:37:00,SR-1955069,Priority 2,Kunal Verma,Facilities,Cafeteria,Cafeteria issue reported by Kunal Verma,Closed,2025-03-29 03:34:00,45.95,High,1000
2025-04-30 04:43:00,INC-1968228,Priority 4,Neha Verma,LM Onboarding,Resource Extension,Resource Extension issue reported by Neha Verma,Closed,2025-05-02 12:53:12,56.17,Critical,5000
2025-02-16 02:33:00,SR-1943751,Priority 1,Ravi Khan,Network,Connectivity,Connectivity issue reported by Ravi Khan,In Progress,,,Low,200
2025-02-13 05:39:00,SR-1953325,Priority 3,Neha Wilson,ACCOPS,Token Reset,Token Reset issue reported by Neha Wilson,Closed,2025-02-14 01:48:00,20.15,Medium,500
2025-05-14 21:04:00,SR-1956991,Priority 1,Fatima Dubey,IT Support,Laptop Issue,Laptop Issue issue reported by Fatima Dubey,Pending,,,High,10000
2025-05-26 06:57:00,INC-1945220,Priority 2,Alfarhan Sharma,Facilities,Cafeteria,Cafeteria issue reported by Alfarhan Sharma,In Progress,,,Critical,500
2025-02-23 23:01:00,SR-1992314,Priority 4,Fatima Patel,HR,Leave Policy,Leave Policy issue reported by Fatima Patel,Open,,,High,3000
2025-06-02 05:08:00,SR-1966556,Priority 4,Neha Iyer,LM Onboarding,New joinee queries,New joinee queries issue reported by Neha Iyer,In Progress,,,Critical,1000
2025-04-16 12:23:00,INC-1944026,Priority 4,Ravi Wilson,LM Onboarding,Resource Extension,Resource Extension issue reported by Ravi Wilson,Closed,2025-04-19 21:24:12,81.02,Low,5000
2025-06-13 22:28:00,SR-1991220,Priority 1,Anjali Sharma,Network,Firewall,Firewall issue reported by Anjali Sharma,Open,,,Critical,1000
2025-04-18 07:43:00,SR-1941028,Priority 3,Neha Demilian,ACCOPS,Account Access,Account Access issue reported by Neha Demilian,Open,,,High,500
2025-03-27 07:22:00,SR-1941160,Priority 1,George Sharma,ACCOPS,Account Access,Account Access issue reported by George Sharma,Open,,,Low,10000
2025-03-28 09:48:00,INC-1914432,Priority 2,Kunal Verma,Network,Bandwidth,Bandwidth issue reported by Kunal Verma,Open,,,Low,10000
2025-07-14 04:10:00,INC-1940373,Priority 2,Anjali Sharma,IT Support,Laptop Issue,Laptop Issue issue reported by Anjali Sharma,Open,,,Low,5000
2025-03-16 06:00:00,SR-1971987,Priority 4,Anjali Demilian,LM Onboarding,Resource Extension,Resource Extension issue reported by Anjali Demilian,Pending,,,High,5000
2025-04-08 08:51:00,SR-1972827,Priority 2,Kunal Fernandes,LM Onboarding,New joinee queries,New joinee queries issue reported by Kunal Fernandes,Pending,,,Low,500
2025-05-20 18:39:00,INC-1914133,Priority 3,George Fernandes,ACCOPS,VPN,VPN issue reported by George Fernandes,Open,,,Medium,5000
2025-05-30 15:30:00,INC-1922208,Priority 2,David Verma,HR,Compliance,Compliance issue reported by David Verma,Open,,,Medium,3000
2025-02-05 06:23:00,INC-1925461,Priority 1,Anjali Iyer,IT Support,Email Access,Email Access issue reported by Anjali Iyer,Open,,,High,3000
2025-07-30 04:27:00,SR-1924519,Priority 2,George Dubey,Network,Bandwidth,Bandwidth issue reported by George Dubey,Pending,,,Medium,200
2025-04-28 07:14:00,SR-1956507,Priority 2,Fatima Verma,Finance,Invoice,Invoice issue reported by Fatima Verma,Closed,2025-05-02 04:57:48,93.73,Critical,3000
2025-03-12 02:23:00,INC-1944828,Priority 2,Sadhana Sharma,Facilities,Seating,Seating issue reported by Sadhana Sharma,Closed,2025-03-14 20:03:12,65.67,Medium,500
2025-05-31 19:24:00,INC-1976103,Priority 1,Fatima Demilian,HR,Compliance,Compliance issue reported by Fatima Demilian,Open,,,High,5000
2025-02-13 17:34:00,INC-1942224,Priority 1,Kunal Patel,Facilities,Seating,Seating issue reported by Kunal Patel,Pending,,,Low,3000
2025-05-04 13:11:00,INC-1976581,Priority 1,Neha Verma,Network,Connectivity,Connectivity issue reported by Neha Verma,Pending,,,High,200
2025-03-11 05:46:00,INC-1934328,Priority 2,Ravi Fernandes,Network,Connectivity,Connectivity issue reported by Ravi Fernandes,Closed,2025-03-13 21:55:00,64.15,High,1000
2025-02-15 05:25:00,INC-1911935,Priority 1,Sadhana Iyer,LM Onboarding,New joinee queries,New joinee queries issue reported by Sadhana Iyer,Pending,,,High,500
2025-06-02 08:48:00,INC-1994722,Priority 2,Sadhana Dubey,Finance,Budget Request,Budget Request issue reported by Sadhana Dubey,Closed,2025-06-06 11:22:12,98.57,Critical,500
2025-06-03 23:00:00,SR-1941576,Priority 2,Anjali Demilian,Finance,Expense Claim,Expense Claim issue reported by Anjali Demilian,Open,,,High,200
2025-04-23 16:14:00,SR-1916302,Priority 4,George Dubey,Finance,Invoice,Invoice issue reported by George Dubey,In Progress,,,Low,5000
2025-04-04 11:32:00,INC-1932098,Priority 1,David Demilian,IT Support,Email Access,Email Access issue reported by David Demilian,Open,,,High,10000
2025-02-20 12:35:00,SR-1955669,Priority 1,Priya Verma,Network,Bandwidth,Bandwidth issue reported by Priya Verma,Open,,,Low,500
2025-03-22 02:41:00,SR-1928535,Priority 2,Neha Wilson,HR,Leave Policy,Leave Policy issue reported by Neha Wilson,In Progress,,,High,200
2025-03-12 06:29:00,SR-1967908,Priority 2,Neha Demilian,Facilities,Transport,Transport issue reported by Neha Demilian,In Progress,,,High,5000
2025-07-15 20:50:00,SR-1914759,Priority 4,Neha Fernandes,Facilities,Seating,Seating issue reported by Neha Fernandes,Closed,2025-07-16 15:39:48,18.83,Critical,200
2025-06-28 01:21:00,INC-1986954,Priority 2,Neha Sharma,Network,Bandwidth,Bandwidth issue reported by Neha Sharma,Closed,2025-07-01 02:13:12,72.87,Low,200
2025-05-29 09:07:00,SR-1914766,Priority 2,Alfarhan Fernandes,LM Onboarding,Resource Extension,Resource Extension issue reported by Alfarhan Fernandes,In Progress,,,Low,1000
2025-07-09 00:24:00,SR-1964542,Priority 2,Priya Khan,IT Support,Email Access,Email Access issue reported by Priya Khan,Pending,,,Low,3000
2025-03-01 17:59:00,SR-1979758,Priority 1,Sadhana Fernandes,ACCOPS,Account Access,Account Access issue reported by Sadhana Fernandes,Closed,2025-03-04 14:50:36,68.86,Medium,5000
2025-07-13 21:45:00,INC-1966845,Priority 3,Neha Singh,HR,Payroll,Payroll issue reported by Neha Singh,Pending,,,Critical,5000
2025-07-08 04:16:00,INC-1923960,Priority 1,David Iyer,HR,Leave Policy,Leave Policy issue reported by David Iyer,In Progress,,,Low,10000
2025-03-01 08:22:00,SR-1939930,Priority 3,David Patel,IT Support,Email Access,Email Access issue reported by David Patel,Closed,2025-03-04 01:03:24,64.69,Critical,3000
2025-07-03 22:21:00,INC-1921388,Priority 4,Kunal Iyer,HR,Leave Policy,Leave Policy issue reported by Kunal Iyer,In Progress,,,Critical,500
2025-04-16 05:50:00,INC-1953434,Priority 3,Alfarhan Singh,LM Onboarding,Resource Extension,Resource Extension issue reported by Alfarhan Singh,In Progress,,,Medium,1000
2025-02-23 16:23:00,SR-1933482,Priority 3,Fatima Demilian,ACCOPS,VPN,VPN issue reported by Fatima Demilian,Closed,2025-02-27 03:51:48,83.48,High,3000
2025-07-01 01:47:00,INC-1986358,Priority 1,Kunal Sharma,Facilities,Seating,Seating issue reported by Kunal Sharma,In Progress,,,Low,3000
2025-04-07 00:14:00,INC-1902793,Priority 2,Kunal Demilian,ACCOPS,Token Reset,Token Reset issue reported by Kunal Demilian,Open,,,Critical,5000
2025-03-23 12:08:00,INC-1922555,Priority 4,Priya Demilian,ACCOPS,VPN,VPN issue reported by Priya Demilian,Pending,,,Medium,5000
2025-05-24 02:24:00,SR-1963687,Priority 3,Alfarhan Singh,Finance,Expense Claim,Expense Claim issue reported by Alfarhan Singh,In Progress,,,Critical,500
2025-06-15 13:15:00,SR-1995171,Priority 3,Ravi Sharma,Facilities,Transport,Transport issue reported by Ravi Sharma,Pending,,,High,1000
2025-05-31 22:13:00,INC-1956097,Priority 4,Kunal Iyer,Network,Bandwidth,Bandwidth issue reported by Kunal Iyer,Pending,,,Critical,3000
2025-03-05 21:54:00,INC-1942877,Priority 2,Alfarhan Khan,Facilities,Transport,Transport issue reported by Alfarhan Khan,Open,,,Critical,10000
2025-05-11 15:54:00,INC-1984168,Priority 4,Priya Iyer,Finance,Budget Request,Budget Request issue reported by Priya Iyer,Closed,2025-05-12 06:39:00,14.75,Low,200
2025-07-09 00:48:00,SR-1900343,Priority 3,Sadhana Sharma,IT Support,Laptop Issue,Laptop Issue issue reported by Sadhana Sharma,Open,,,Medium,5000
2025-02-13 19:17:00,SR-1904495,Priority 3,David Singh,Network,Firewall,Firewall issue reported by David Singh,Pending,,,Low,10000
2025-07-21 14:32:00,INC-1959334,Priority 3,Fatima Singh,Facilities,Transport,Transport issue reported by Fatima Singh,Open,,,Critical,1000
2025-06-06 10:26:00,INC-1999355,Priority 3,Alfarhan Dubey,LM Onboarding,Resource Extension,Resource Extension issue reported by Alfarhan Dubey,Open,,,High,1000
2025-03-13 08:14:00,INC-1985821,Priority 2,Alfarhan Dubey,Facilities,Transport,Transport issue reported by Alfarhan Dubey,Pending,,,Low,5000
2025-03-31 11:26:00,SR-1914981,Priority 2,Fatima Dubey,ACCOPS,Token Reset,Token Reset issue reported by Fatima Dubey,Closed,2025-04-02 15:28:24,52.04,Low,500
